ID,Language_ID,Headword,Part_Of_Speech,HeadwordPDLMA,Sources
E0050,zai,du'ga',s,du!7ga,JLC;RLC10
E1130,zai,du'ga' gui'xi',s,du!7ga gi7xi,RLC14
E0345,zai,duba,s,duba,JLC;ND;VP;RLC10
E0798,zai,duba dxa,s,duba dxa*,JLC;RLC04;RLC10;VC17
E0799,zai,duba dxa gui'xhi',s,duba dxa* gi7xi,RLC04;RLC10
E0344,zai,dudu,s,du*du*,JLC;RLC10;VC17
E0347,zai,duuza',s,duuza,JLC;ND;VP;RLC04;RLC10;VC17
E0349,zai,dxiña yaga,s,dxinya yaga,RLC04;RLC10;VC17
E0351,zai,esclabon,s,eskla-bo!n,RLC10;FSL15
E0355,zai,flor de china,s,flor de chi*na,RLC04;RLC10;VC17
E0354,zai,flordecampu,s,florrde-ka*mpu,FSL15;RLC15;VOT15
E0356,zai,fresa,s,fre*sa,RGL03;RLC04;RLC10
E1227,zai,galaa bato' yaga,loc,ga-laa* ba-to7 yaga,VC17
E0359,zai,gamitu gui'xhi',s,gami*tu* gi^7xi,RGL03;RLC10
E0945,zai,gardenia,s,garde*nya,RLC04;RLC10;FSL14
E0365,zai,girasol,s,jira-so!l,RLC04;RLC10
E0595,zai,girasol cha'hui',s,jira-so!l cha!7wi,RLC04;RLC10
E0596,zai,girasol gui'xhi',s,jira-so!l gi7xi,RLC04;RLC10
E0367,zai,gordolobo,s,gorrdolo*bo,RLC04;RLC10
E0368,zai,granada,s,grana*da,RLC04;RLC10;RLC14
E0369,zai,gu,s,gu,EJG;JLC;ND;VP;RGL03;RLC10;RLC4
E0370,zai,gu bandaga,s,gu ba-ndaga,RLC10
E0371,zai,gu biguitu,s,gu bi-gitu,RLC10
E0372,zai,gu cha'hui',s,gu cha!7wi,RGL03;RLC04;RLC10
E1145,zai,gu guchi,s,gu guchi,RLC14
E0373,zai,gu muradu,s,gu mura*du,RLC10
E0374,zai,gu xiña',s,gu zhi-nya*7,RLC10
E0375,zai,gu yaga,s,gu yaga,EJG;JLC;VP;RGL03;RLC10
E1216,zai,gu yu,s,gu yu,VC17
E0520,zai,gu'xhu' bido',s,gu7xu bi-do7,JLC;RLC10
E0376,zai,guba gui,s,guba* gi,EJG;JLC;VP;RLC10;VC17
E0387,zai,gue'la' ziña,s,ge7la zinya,EJG;ND;VC17
E0379,zai,gueere',s,geere,EJG;JLC;VP;RGL03;RLC04;RLC10
E0380,zai,gueere' papaya,s,geere papa*ya,RGL03;RLC04;RLC10;RLC14;VC17
E0382,zai,gueeze',s,geeze,RLC17;VC17
E1280,zai,gueeze',s,geeze,JLC;RLC10;VC17
E0383,zai,guela,s,gela,EJG;JLC;ND;VP;RLC04;RLC10
E0384,zai,guela du,s,gela du,EJG;ND;RLC10;RLC14;VC17
E1218,zai,guela duuza',s,gela duuza,VC17
